Datetime,Instrument,Intensity_and_Scaling_1,Intensity_and_Scaling_2,Intensity_and_Scaling_3,Intensity_and_Scaling_4,Intensity_and_Scaling_5,Intensity_and_Scaling_6,Intensity_and_Scaling_7,Intensity_and_Scaling_8,Intensity_and_Scaling_9,Intensity_and_Scaling_10,Intensity_and_Scaling_11,Intensity_and_Scaling_12,Intensity_and_Scaling_13
01-Aug-2021 06:00:00,mb,0.6090592,0.2978604,0.07023609,0.01831584,0.003827032,0.000701371,0,0,0,0,0,0,0
01-Aug-2021 06:00:00,mc,0.7749776,0.2082789,0.0144872,0.001554894,0,0.0007013936,0,0,0,0,0,0,0
01-Aug-2021 06:00:00,md,0.7316166,0.2246797,0.03879926,0.003925567,0.0002776719,0.0007012428,0,0,0,0,0,0,0
01-Aug-2021 06:00:00,me,0.6778924,0.2767663,0.03883765,0.005666393,0.00013604,0.0007011107,0,0,0,0,0,0,0
01-Aug-2021 07:00:00,mb,0.6301289,0.3066698,0.06185754,0.001343799,0,0,0,0,0,0,0,0,0
01-Aug-2021 07:00:00,mc,0.7335756,0.2479856,0.01833462,0.0001041978,0,0,0,0,0,0,0,0,0
01-Aug-2021 07:00:00,md,0.6504231,0.2970754,0.05132269,0.001178834,0,0,0,0,0,0,0,0,0
01-Aug-2021 07:00:00,me,0.6619474,0.2926769,0.04533517,4.051102e-05,0,0,0,0,0,0,0,0,0
01-Aug-2021 08:00:00,mb,0.5835119,0.3172641,0.09238816,0.006835859,0,0,0,0,0,0,0,0,0
01-Aug-2021 08:00:00,mc,0.6687759,0.2890429,0.04147262,0.0007085931,0,0,0,0,0,0,0,0,0
01-Aug-2021 08:00:00,md,0.6388216,0.2942075,0.06223372,0.004737163,0,0,0,0,0,0,0,0,0
01-Aug-2021 08:00:00,me,0.639493,0.2830884,0.07168145,0.00573713,0,0,0,0,0,0,0,0,0
01-Aug-2021 09:00:00,mb,0.5417932,0.3039726,0.1282562,0.02505681,0.00092114,0,0,0,0,0,0,0,0
01-Aug-2021 09:00:00,mc,0.6038861,0.2900785,0.0979682,0.007146658,0.0009205484,0,0,0,0,0,0,0,0
01-Aug-2021 09:00:00,md,0.5733817,0.3079346,0.103948,0.01381526,0.0009204434,0,0,0,0,0,0,0,0
01-Aug-2021 09:00:00,me,0.5662007,0.2814234,0.1293584,0.02209711,0.0009203712,0,0,0,0,0,0,0,0
01-Aug-2021 10:00:00,mb,0.4731249,0.3022976,0.1704463,0.04716015,0.006971097,0,0,0,0,0,0,0,0
01-Aug-2021 10:00:00,mc,0.549127,0.3093839,0.1252915,0.01619762,0,0,0,0,0,0,0,0,0
01-Aug-2021 10:00:00,md,0.5501857,0.3066015,0.1212873,0.02188774,3.775658e-05,0,0,0,0,0,0,0,0
01-Aug-2021 10:00:00,me,0.5287715,0.2891628,0.1443832,0.03703575,0.0006468126,0,0,0,0,0,0,0,0
01-Aug-2021 11:00:00,mb,0.4315531,0.2835125,0.1823229,0.08113808,0.01637697,0.005096472,0,0,0,0,0,0,0
01-Aug-2021 11:00:00,mc,0.5341467,0.2673046,0.1606846,0.03503388,0.002788619,4.166342e-05,0,0,0,0,0,0,0
01-Aug-2021 11:00:00,md,0.4657809,0.2690619,0.1895461,0.06184908,0.01215902,0.001603037,0,0,0,0,0,0,0
01-Aug-2021 11:00:00,me,0.4754448,0.2824679,0.1679065,0.05843409,0.01459946,0.001147206,0,0,0,0,0,0,0
01-Aug-2021 12:00:00,mb,0.3997016,0.2461339,0.1902588,0.1033075,0.04115305,0.01857777,0.0008673827,0,0,0,0,0,0
01-Aug-2021 12:00:00,mc,0.4630442,0.2652313,0.1763378,0.07575704,0.01640815,0.002354506,0.0008669953,0,0,0,0,0,0
01-Aug-2021 12:00:00,md,0.4179252,0.2622789,0.1767707,0.09112435,0.03494452,0.01687666,7.969806e-05,0,0,0,0,0,0
01-Aug-2021 12:00:00,me,0.4283814,0.2548629,0.1829164,0.08959288,0.03155213,0.01264335,5.091837e-05,0,0,0,0,0,0
01-Aug-2021 13:00:00,mb,0.3768288,0.2467817,0.1859149,0.1073643,0.05609799,0.02676388,0.0002483884,0,0,0,0,0,0
01-Aug-2021 13:00:00,mc,0.518531,0.2995144,0.1298958,0.02532525,0.0004070518,0.02608445,0.0002420827,0,0,0,0,0,0
01-Aug-2021 13:00:00,md,0.4313014,0.28016,0.1859948,0.07996687,0.02036775,0.002209281,0,0,0,0,0,0,0
01-Aug-2021 13:00:00,me,0.4329597,0.2771988,0.1868609,0.07797643,0.02001,0.004994125,0,0,0,0,0,0,0
01-Aug-2021 14:00:00,mb,0.4553552,0.3124687,0.1723967,0.05805433,0.001725156,0,0,0,0,0,0,0,0
01-Aug-2021 14:00:00,mc,0.5944256,0.3197981,0.08211518,0.001937808,0.001723311,0,0,0,0,0,0,0,0
01-Aug-2021 14:00:00,md,0.5308128,0.3205853,0.1331594,0.01544251,2.090867e-08,0,0,0,0,0,0,0,0
01-Aug-2021 14:00:00,me,0.5156803,0.3243842,0.1416716,0.01820459,5.933701e-05,0,0,0,0,0,0,0,0
01-Aug-2021 15:00:00,mb,0.4763886,0.3069918,0.1715035,0.04317385,0.001942186,0,0,0,0,0,0,0,0
01-Aug-2021 15:00:00,mc,0.5756892,0.2918971,0.1197315,0.01268217,0,0,0,0,0,0,0,0,0
01-Aug-2021 15:00:00,md,0.5348835,0.3201548,0.1309283,0.01403336,0,0,0,0,0,0,0,0,0
01-Aug-2021 15:00:00,me,0.5174296,0.2962662,0.1465228,0.03965812,0.0001232643,0,0,0,0,0,0,0,0
01-Aug-2021 16:00:00,mb,0.4407915,0.2909089,0.1771112,0.07080397,0.01800491,0.002379584,0,0,0,0,0,0,0
01-Aug-2021 16:00:00,mc,0.4959354,0.2581877,0.176001,0.06105338,0.007038477,0.001784086,0,0,0,0,0,0,0
01-Aug-2021 16:00:00,md,0.4792415,0.2719191,0.1764957,0.0628198,0.008632836,0.0008910675,0,0,0,0,0,0,0
01-Aug-2021 16:00:00,me,0.4656706,0.2748061,0.1751646,0.06271712,0.0167551,0.004886427,0,0,0,0,0,0,0
01-Aug-2021 17:00:00,mb,0.4276788,0.2659875,0.1792653,0.09264635,0.028325,0.005831137,0.0002659971,0,0,0,0,0,0
01-Aug-2021 17:00:00,mc,0.4480149,0.2450902,0.1844432,0.0965789,0.02162047,0.004159132,9.318333e-05,0,0,0,0,0,0
01-Aug-2021 17:00:00,md,0.4358927,0.2597736,0.1842921,0.09000845,0.02557129,0.004363415,6.036077e-05,3.815278e-05,0,0,0,0,0
01-Aug-2021 17:00:00,me,0.4250119,0.248248,0.1836604,0.1012437,0.03688909,0.004878496,3.036925e-05,3.814836e-05,0,0,0,0,0
02-Aug-2021 06:00:00,mb,0.8576851,0.1371624,0.003482222,0.001220764,0.000397271,5.219284e-05,0,0,0,0,0,0,0
02-Aug-2021 06:00:00,mc,0.8431956,0.1414865,0.01068504,0.004471732,0.0001089079,5.21861e-05,0,0,0,0,0,0,0
02-Aug-2021 06:00:00,md,0.9115181,0.08573502,0.0009543549,0.001335541,0.0004569879,0,0,0,0,0,0,0,0
02-Aug-2021 06:00:00,me,0.9022316,0.0930445,0.002267462,0.002245906,0.0001731006,3.740806e-05,0,0,0,0,0,0,0
02-Aug-2021 07:00:00,mb,0.7014086,0.2487846,0.0428297,0.004360752,0.002214404,0.0001662436,0.0002357275,0,0,0,0,0,0
02-Aug-2021 07:00:00,mc,0.67217,0.2836905,0.04117137,0.001855441,0.0007108564,0.0001661594,0.0002356081,0,0,0,0,0,0
02-Aug-2021 07:00:00,md,0.7138575,0.2428188,0.04263771,0.0001756567,0.0001085434,0.0001661876,0.0002356481,0,0,0,0,0,0
02-Aug-2021 07:00:00,me,0.6818295,0.269772,0.04625574,0.001646168,0.0002177709,4.319729e-05,0.0002356535,0,0,0,0,0,0
02-Aug-2021 08:00:00,mb,0.5574863,0.3007022,0.1157909,0.02589446,0.0001261069,0,0,0,0,0,0,0,0
02-Aug-2021 08:00:00,mc,0.6039416,0.2872458,0.0995326,0.009277905,2.157515e-06,0,0,0,0,0,0,0,0
02-Aug-2021 08:00:00,md,0.5781721,0.2898102,0.1126055,0.01877543,0.0006367083,0,0,0,0,0,0,0,0
02-Aug-2021 08:00:00,me,0.5757208,0.2917839,0.105717,0.02664289,0.0001354899,0,0,0,0,0,0,0,0
02-Aug-2021 09:00:00,mb,0.4790792,0.2794084,0.1628589,0.0619609,0.01445664,0.002236004,0,0,0,0,0,0,0
02-Aug-2021 09:00:00,mc,0.5175045,0.2717458,0.1619873,0.04473559,0.003840907,0.000185832,0,0,0,0,0,0,0
02-Aug-2021 09:00:00,md,0.5000283,0.2761215,0.1680064,0.0480281,0.007672765,0.0001428698,0,0,0,0,0,0,0
02-Aug-2021 09:00:00,me,0.4934299,0.2848864,0.1679,0.04590574,0.007566081,0.0003118653,0,0,0,0,0,0,0
02-Aug-2021 10:00:00,mb,0.4867601,0.2670093,0.1390215,0.07856769,0.02472862,0.003900051,1.273893e-05,0,0,0,0,0,0
02-Aug-2021 10:00:00,mc,0.5200967,0.3011079,0.1404994,0.0342667,0.003855906,0.0001607183,1.274196e-05,0,0,0,0,0,0
02-Aug-2021 10:00:00,md,0.4814411,0.2951722,0.1632153,0.05073944,0.00856492,0.0008542113,1.273878e-05,0,0,0,0,0,0
02-Aug-2021 10:00:00,me,0.4772748,0.2968707,0.1641645,0.05344746,0.007352782,0.0008769298,1.273864e-05,0,0,0,0,0,0
02-Aug-2021 11:00:00,mb,0.4477177,0.2898423,0.1683219,0.07773998,0.01586134,0.00051674,0,0,0,0,0,0,0
02-Aug-2021 11:00:00,mc,0.516588,0.2891974,0.1519288,0.03918688,0.002423648,0.0006753186,0,0,0,0,0,0,0
02-Aug-2021 11:00:00,md,0.4766097,0.2909403,0.166268,0.05638377,0.007485078,0.002313185,0,0,0,0,0,0,0
02-Aug-2021 11:00:00,me,0.4772344,0.2976023,0.1584006,0.0576913,0.007409264,0.00166213,0,0,0,0,0,0,0
02-Aug-2021 12:00:00,mb,0.4181508,0.2689241,0.1967431,0.087147,0.02502499,0.004010029,0,0,0,0,0,0,0
02-Aug-2021 12:00:00,mc,0.478373,0.2635511,0.1793089,0.06686115,0.01077698,0.001128831,0,0,0,0,0,0,0
02-Aug-2021 12:00:00,md,0.4409304,0.2697603,0.1888545,0.07317147,0.02300175,0.004281583,0,0,0,0,0,0,0
02-Aug-2021 12:00:00,me,0.4469815,0.2696934,0.1860752,0.07540665,0.01919212,0.002651137,0,0,0,0,0,0,0
02-Aug-2021 13:00:00,mb,0.3809154,0.2530518,0.1821797,0.112421,0.04994519,0.02080963,0.0006772418,0,0,0,0,0,0
02-Aug-2021 13:00:00,mc,0.4554076,0.2409163,0.180229,0.09860799,0.02235698,0.002468191,1.39225e-05,0,0,0,0,0,0
02-Aug-2021 13:00:00,md,0.4032208,0.242643,0.1885582,0.1171597,0.03502632,0.01268399,0.0007080676,0,0,0,0,0,0
02-Aug-2021 13:00:00,me,0.4106385,0.2482734,0.1851093,0.1118899,0.03506809,0.007861246,0.001159575,0,0,0,0,0,0
02-Aug-2021 14:00:00,mb,0.3650722,0.2421278,0.1859916,0.1236186,0.05491921,0.02659389,0.001676545,0,0,0,0,0,0
02-Aug-2021 14:00:00,mc,0.454232,0.2448351,0.1817813,0.09179389,0.02299675,0.002686056,0.001674914,0,0,0,0,0,0
