date_set,mean_lidar_WSPD,mean_era5_WSPD,std_lidar_WSPD,std_era5_WSPD,mean_lidar_WDIR,mean_era5_WDIR,std_lidar_WDIR,std_era5_WDIR
01-Aug-2021,5.555,5.435,1.281,1.151,279.692,265.345,25.494,21.28
02-Aug-2021,6.85,7.028,1.615,1.294,278.548,272.167,11.408,10.973
03-Aug-2021,1.956,2.008,0.616,0.511,228.209,277.827,96.023,20.989
04-Aug-2021,4.151,3.375,1.343,0.751,62.86,60.118,42.228,19.564
05-Aug-2021,4.117,4.149,1.535,1.128,145.732,106.202,75.148,10.097
06-Aug-2021,5.629,5.016,2.116,1.916,147.226,160.18,28.012,19.656
07-Aug-2021,3.335,3.707,1.486,1.011,179.874,197.65,30.053,9.504
08-Aug-2021,8.961,8.682,2.265,2.531,231.782,225.099,11.128,8.484
09-Aug-2021,7.273,7.122,1.362,1.927,224.724,215.069,9.801,7.983
10-Aug-2021,5.297,4.861,1.609,1.333,238.48,236.301,38.084,26.217
11-Aug-2021,3.784,4.123,1.262,0.939,250.543,261.393,24.115,9.758
12-Aug-2021,3.809,4.213,0.778,0.938,178.48,197.074,33.107,23.594
13-Aug-2021,6.931,7.541,3.274,3.598,230.443,238.775,19.841,24.108
14-Aug-2021,7.201,7.237,1.929,2.198,252.22,239.927,25.496,20.958
15-Aug-2021,2.743,4.419,1.837,1.428,221.37,236.189,72.676,6.069
16-Aug-2021,8.573,8.26,2.007,2.224,260.184,249.296,10.96,14.402
17-Aug-2021,11.293,11.374,2.988,3.398,281.537,268.626,9.928,5.079
18-Aug-2021,9.046,9.881,2.296,2.358,274.114,267.089,8.354,11.001
19-Aug-2021,6.273,6.688,1.602,1.573,277.916,269.113,12.556,6.573
20-Aug-2021,4.046,4.071,2.094,2.033,233.746,257.267,48.356,35.528
21-Aug-2021,2.331,1.99,0.492,0.517,135.836,121.097,17.546,25.64
22-Aug-2021,5.656,5.694,1.509,1.492,109.33,100.267,14.039,16.619
23-Aug-2021,7.467,6.769,1.385,1.352,55.295,49.325,10.482,9.591
24-Aug-2021,4.033,3.907,0.734,0.903,72.567,59.848,13.446,6.516
25-Aug-2021,9.363,9.029,2.605,3.334,291.058,282.158,4.26,3.881
26-Aug-2021,6.797,6.498,1.49,1.841,320.037,336.999,84.573,6.523
27-Aug-2021,5.354,5.999,1.84,1.417,99.83,106.088,142.851,148.719
28-Aug-2021,6.134,5.645,1.476,1.927,18.287,34.907,6.034,93.505
29-Aug-2021,5.393,5.654,1.988,1.822,63.546,73.946,94.079,115.862
30-Aug-2021,5.595,6.409,1.183,1.379,28.503,27.882,9.047,5.446
31-Aug-2021,4.626,4.579,1.07,1.049,92.89,272.827,141.54,144.285
01-Sep-2021,5.413,4.347,0.824,0.894,310.667,314.193,22.726,12.247
02-Sep-2021,2.639,2.635,0.774,0.413,293.84,292.542,11.424,9.725
03-Sep-2021,6.299,5.079,0.399,0.742,297.498,291.145,7.81,5.013
04-Sep-2021,2.946,2.432,1.186,0.741,184.044,168.143,121.302,134.251
05-Sep-2021,2.832,2.533,0.773,0.587,101.699,88.848,18.72,16.469
06-Sep-2021,2.643,2.336,1.061,0.88,275.599,289.184,33.481,10.137
07-Sep-2021,1.252,0.816,0.458,0.452,182.173,259.391,118.074,136.618
08-Sep-2021,3.015,2.835,0.887,0.53,145.482,131.568,13.071,17.642
09-Sep-2021,3.687,3.435,0.868,0.766,146.544,136.037,15.671,16.737
