date_set,Difference_wspd,Difference_wdir
01-Aug-2021,0,-0
02-Aug-2021,0,0
03-Aug-2021,-0.162,-55.161
04-Aug-2021,-0,-0.003
05-Aug-2021,-0,29.039
06-Aug-2021,-0.398,-10.957
07-Aug-2021,-0.368,-20.155
08-Aug-2021,-0.011,-0.154
09-Aug-2021,0.001,0
10-Aug-2021,-0.302,-14.62
11-Aug-2021,-0.285,-20.709
12-Aug-2021,-0.344,-14.111
13-Aug-2021,-0.272,-16.386
14-Aug-2021,-0,0
15-Aug-2021,-0.001,-20.594
16-Aug-2021,-0.002,-0.037
17-Aug-2021,-0.005,-0.106
18-Aug-2021,-0,-0.017
19-Aug-2021,-0.007,-0.151
20-Aug-2021,-0.232,-12.581
21-Aug-2021,-0.211,-7.51
22-Aug-2021,-0.001,-0.019
23-Aug-2021,-0,-0
24-Aug-2021,0,-0
25-Aug-2021,-0.003,-0.061
26-Aug-2021,-0,-23.87
27-Aug-2021,-1.016,-17.859
28-Aug-2021,0.001,-27.666
29-Aug-2021,-0.033,-18.26
30-Aug-2021,-0.001,-0
31-Aug-2021,0,-194.485
01-Sep-2021,-0,-1.007
02-Sep-2021,0,0
03-Sep-2021,0.001,0
04-Sep-2021,-0.001,0.944
05-Sep-2021,-0,-0
06-Sep-2021,-0.037,-3.986
07-Sep-2021,0,-109.903
08-Sep-2021,0,-0
09-Sep-2021,-0,0
