date_set,mean_WSPD_diff,std_WSPD_diff,mean_WDIR_diff,std_WDIR_diff
01-Aug-2021,0.12,1.128,14.347,16.317
02-Aug-2021,-0.178,1.44,6.381,14.378
03-Aug-2021,0.11,0.848,5.543,42.847
04-Aug-2021,0.776,1.051,2.745,40.759
05-Aug-2021,-0.032,1.525,10.491,50.474
06-Aug-2021,1.011,1.069,-1.997,24.113
07-Aug-2021,-0.004,0.99,2.379,27.999
08-Aug-2021,0.29,0.978,6.837,6.635
09-Aug-2021,0.15,1.395,9.655,5.821
10-Aug-2021,0.738,1.148,16.799,21.778
11-Aug-2021,-0.054,0.913,9.859,20.247
12-Aug-2021,-0.06,0.575,-4.483,19.743
13-Aug-2021,-0.338,1.643,8.054,7.894
14-Aug-2021,-0.036,1.067,12.293,11.207
15-Aug-2021,-1.675,1.317,5.775,64.492
16-Aug-2021,0.315,1.105,10.925,12.709
17-Aug-2021,-0.076,1.274,13.017,8.02
18-Aug-2021,-0.835,0.9,7.042,7.956
19-Aug-2021,-0.408,1.275,8.954,12.442
20-Aug-2021,0.207,0.844,-10.94,18.547
21-Aug-2021,0.552,0.473,22.249,16.927
22-Aug-2021,-0.037,0.853,9.082,6.841
23-Aug-2021,0.698,0.662,5.97,6.468
24-Aug-2021,0.126,0.533,12.719,11.348
25-Aug-2021,0.337,1.256,8.961,5.444
26-Aug-2021,0.299,1.005,6.908,9.615
27-Aug-2021,0.371,1.389,11.601,11.539
28-Aug-2021,0.488,1.328,11.046,6.505
29-Aug-2021,-0.228,1.269,7.86,11.501
30-Aug-2021,-0.813,0.968,0.621,10.188
31-Aug-2021,0.047,0.698,14.548,9.959
01-Sep-2021,1.066,0.521,-2.519,12.556
02-Sep-2021,0.004,0.924,1.298,18.129
03-Sep-2021,1.219,0.507,6.353,8.147
04-Sep-2021,0.515,1.211,14.957,23.388
05-Sep-2021,0.299,0.57,12.851,12.909
06-Sep-2021,0.344,0.897,-9.599,31.547
07-Sep-2021,0.436,0.541,32.685,108.175
08-Sep-2021,0.18,0.843,13.914,13.05
09-Sep-2021,0.252,0.626,10.507,9.257
