date_set,mean_WSPD_diff,std_WSPD_diff,mean_WDIR_diff,std_WDIR_diff
01-Aug-2021,1.764,1.548,5.422,59.578
02-Aug-2021,2.041,1.243,28.213,77.547
03-Aug-2021,1.507,0.91,87.184,80.372
04-Aug-2021,2.381,2.244,-6.126,81.106
05-Aug-2021,2.817,1.444,-136.251,56.882
06-Aug-2021,2.048,1.843,143.462,68.874
07-Aug-2021,1.541,1.041,-41.123,81.19
08-Aug-2021,1.75,0.786,-50.949,62.539
09-Aug-2021,1.862,0.867,-53.424,61.314
10-Aug-2021,2.49,1.391,-32.977,68.747
11-Aug-2021,1.497,0.691,12.119,37.092
12-Aug-2021,1.286,1.018,68.883,76.797
13-Aug-2021,2.028,1.283,-7.6,62.541
14-Aug-2021,2.085,1.184,-22.327,64.998
15-Aug-2021,2.873,1.335,59.636,48.359
16-Aug-2021,2.537,0.922,-36.738,69.949
17-Aug-2021,2.853,1.466,7.756,32.285
18-Aug-2021,1.91,0.976,42.778,53.705
19-Aug-2021,1.891,1,48.067,72.292
20-Aug-2021,1.241,0.832,98.385,91.253
21-Aug-2021,1.224,0.444,-169.358,33.16
22-Aug-2021,1.256,0.734,-164.12,54.113
23-Aug-2021,1.333,0.553,90.094,43.899
24-Aug-2021,1.134,0.48,154.538,51.897
25-Aug-2021,1.868,0.856,-0.562,49.143
26-Aug-2021,1.517,0.945,50.044,70.146
27-Aug-2021,2.252,1.307,107.358,42.423
28-Aug-2021,1.631,0.934,77.731,51.195
29-Aug-2021,1.568,1.032,146.307,53.665
30-Aug-2021,1.474,0.751,-145.847,65.499
31-Aug-2021,1.369,0.703,93.796,44.642
01-Sep-2021,1.436,0.639,-50.823,48.127
02-Sep-2021,1.141,0.489,73.746,94.295
03-Sep-2021,1.569,0.508,-40.55,35.125
04-Sep-2021,1.66,0.532,-101.565,85.354
05-Sep-2021,0.865,0.477,169.123,45.951
06-Sep-2021,1.083,0.465,-81.067,93.821
07-Sep-2021,1.356,0.609,130.872,80.163
08-Sep-2021,1.184,0.604,-142.255,68.898
09-Sep-2021,1.012,0.524,-148.606,50.491
